RA,Dec,z,direction_cw_ccw
166.94648,3.47385,0.04153,-1
225.37823,-0.5397,0.04154,1
225.55685,0.11219,0.0416,1
161.86642,3.17885,0.04163,-1
39.54573,0.17781,0.04164,1
34.61354,-4.20541,0.04165,-1
19.50817,0.31452,0.04166,-1
9.6172,0.12245,0.04166,1
206.97375,1.91358,0.04167,1
9.59785,-0.60797,0.04168,1
221.71564,-1.14685,0.04171,1
343.31875,-0.01489,0.04175,1
353.99403,0.08445,0.04176,-1
157.24356,1.77175,0.04177,1
346.53012,0.7767,0.04179,1
157.42139,1.92002,0.0418,1
224.12819,-1.21729,0.04185,-1
172.75561,1.88649,0.04192,-1
156.77187,4.08909,0.04198,1
171.73335,-1.32101,0.04204,-1
186.147,0.1294,0.04204,1
32.07466,1.10075,0.04204,1
224.80935,1.47957,0.04207,1
225.85317,42.39565,0.04209,1
175.15947,0.15134,0.04211,-1
343.40142,0.0632,0.04212,1
19.09382,-0.20927,0.04216,-1
31.12843,-0.794,0.04216,-1
32.22091,0.78684,0.04216,1
31.52235,0.84786,0.04217,1
183.92319,4.45633,0.04218,-1
163.01144,3.16622,0.04222,1
27.80394,-0.73318,0.04222,-1
245.29843,42.13874,0.04224,1
32.08407,1.18427,0.04231,1
346.96914,1.01487,0.04232,1
18.80533,0.49122,0.04235,1
31.02374,1.11976,0.04235,1
168.32038,4.91896,0.04237,1
331.26086,0.47605,0.04237,1
333.17264,0.34299,0.0424,1
196.55459,1.4785,0.04243,1
168.72812,3.83577,0.04244,1
223.13325,-0.16639,0.04244,1
225.14773,1.48037,0.04246,-1
37.51767,-0.65166,0.04249,1
332.85587,0.14487,0.0425,1
167.89112,2.95765,0.04251,1
149.26097,-1.24172,0.04257,1
350.03508,0.87853,0.0426,-1
337.39853,1.24394,0.0426,1
221.86779,-1.63391,0.04265,1
31.3312,-0.72356,0.04265,-1
345.61439,-0.94316,0.04269,-1
331.35247,0.47572,0.0427,1
224.72151,1.16186,0.04272,1
223.4968,0.83225,0.04273,-1
151.60509,-1.21157,0.04274,-1
162.1403,3.31777,0.04278,1
219.1605,3.19345,0.04279,1
150.20819,-0.14922,0.04281,1
164.73846,1.77534,0.04282,-1
331.71206,-0.16518,0.04283,1
221.88823,-1.64565,0.04284,1
32.82517,-0.98073,0.04292,1
16.92378,2.11957,0.04293,1
30.75163,-0.25154,0.04295,-1
169.85353,4.24985,0.04296,-1
210.86606,0.73322,0.04299,-1
223.13297,-1.34509,0.043,1
160.47977,3.52425,0.04302,-1
211.01544,0.8965,0.04302,-1
9.67946,0.58108,0.04303,1
210.93551,0.23089,0.0431,-1
223.42667,-0.01269,0.0431,-1
20.76254,-0.32342,0.0431,1
32.38646,-0.9999,0.04314,1
22.95042,0.66275,0.04315,-1
168.24036,2.73166,0.04319,1
210.93446,0.81381,0.04319,1
161.74477,3.32019,0.04321,1
22.90782,0.81434,0.04321,-1
31.57633,1.01798,0.04322,1
223.04205,0.78397,0.04323,-1
22.87696,0.75809,0.04327,1
221.34253,44.34143,0.0433,1
240.97336,44.59541,0.04332,-1
23.00805,0.29669,0.04333,1
31.71997,-0.51809,0.04336,-1
20.76031,-0.3241,0.04336,1
222.81484,-0.37215,0.0434,-1
152.71324,-0.64512,0.04349,-1
30.67073,0.37938,0.0435,1
151.51843,3.59904,0.04351,-1
222.09502,44.41866,0.04354,-1
214.97194,52.09933,0.04355,-1
346.69469,-0.32241,0.04356,1
30.66971,-0.82583,0.0436,1
240.58556,44.47021,0.04361,1
223.80513,0.60872,0.04363,-1
18.62837,0.32454,0.04363,1
239.44375,42.96534,0.04368,-1
221.60428,43.83244,0.04373,-1
156.97392,3.97545,0.04374,1
222.97277,-0.72344,0.04375,1
30.7326,0.9721,0.04386,-1
241.5815,44.28462,0.04391,1
18.87018,0.51488,0.04395,-1
223.72139,0.64044,0.04398,1
240.96138,44.50831,0.04406,1
18.38776,0.49671,0.0441,-1
151.49065,2.58325,0.04414,-1
209.88859,0.26741,0.04415,1
19.88429,-1.10219,0.04417,-1
18.91934,1.19799,0.04417,1
188.52197,0.48106,0.0442,-1
210.54409,-0.2362,0.04425,-1
174.41348,-0.81519,0.0443,1
239.82407,42.92038,0.04431,-1
18.17547,1.14424,0.04432,-1
